json_obj,Post,threads
"{'author': {}, 'comments': ['Wow were you in DC or something?????', 'u look bumpy', 'WHERE IS THE TURTLE', 'What a lad'], 'id': '7130d68598f130c4d8a96790470617ff', 'post': ['Portrait mode thought one of the columns was part of my head 🤔']}",Portrait mode thought one of the columns was part of my head 🤔,Wow were you in DC or something????? u look bumpy WHERE IS THE TURTLE What a lad
"{'author': {}, 'comments': ['They literally already have a range In Lexington why need another one.', 'Well said, thanks for sharing this Taeko.', 'Hi, are you the creator of this petition? While I respect the intention and believe we should put pressure on removing the funding, I don’t think the money should be reallocated back to the police. Instead, it should be reallocated to local efforts that support Black Americans and that encourage community accountability.', ""My #lexington fellow residents please ponder on this crazy spend, especially during the time of national outrage. Let's sign this pledge!!!""], 'id': 'a222d538b41d51776299d00dedaedd06', 'post': [""LEXINGTON COMMUNITY PLEASE READ!  Yesterday, June 4th, 2020 Lexington MA held a vigil for George Floyd a victim of police brutality, may he rest in peace. Also on this day, our town voted 122-65 to spend $125k on planning the construction of a new shooting range for local police that will amount to 3.5-5 million dollars.  When I was a senior at LHS in 2018, the shooting at Marjory Stoneham Douglas High School sparked a movement to end gun violence, especially in schools. I wa...tched and participated in protests. My peers, family, teachers, and neighbors did too. When it came to our public school system, Lexington was against the use of firearms.  Lexington Police Chief, Mark J. Corr emphasizes that “classroom and scenario training helps officers understanding WHEN and WHY force should be used.” (source link below) So as a Lexington youth, I have a right to know why $125,000 are being allocated to creating this plan, instead of non-violent police education and training?   We cannot pick and choose which parts to protest and support when it comes to gun violence. Changing the systemic gun violence in this country begins with our own community.  *If you agree with what's been said sign the petition at the top of this post* Presentation for Article 16a: https://www.lexingtonma.gov/…/article_16a_firing_range_a_4.… List of Lexington Reps who voted: https://www.lexingtonma.gov/…/article_16a_firing_range_a_4.…  Representative Contact List: http://www.lexingtontmma.org/pmwiki.php… Activism begins with education, so thank you to Nirmal Balachundhar for making me aware of this issue. See More""]}","LEXINGTON COMMUNITY PLEASE READ!  Yesterday, June 4th, 2020 Lexington MA held a vigil for George Floyd a victim of police brutality, may he rest in peace. Also on this day, our town voted 122-65 to spend $125k on planning the construction of a new shooting range for local police that will amount to 3.5-5 million dollars.  When I was a senior at LHS in 2018, the shooting at Marjory Stoneham Douglas High School sparked a movement to end gun violence, especially in schools. I wa...tched and participated in protests. My peers, family, teachers, and neighbors did too. When it came to our public school system, Lexington was against the use of firearms.  Lexington Police Chief, Mark J. Corr emphasizes that “classroom and scenario training helps officers understanding WHEN and WHY force should be used.” (source link below) So as a Lexington youth, I have a right to know why $125,000 are being allocated to creating this plan, instead of non-violent police education and training?   We cannot pick and choose which parts to protest and support when it comes to gun violence. Changing the systemic gun violence in this country begins with our own community.  *If you agree with what's been said sign the petition at the top of this post* Presentation for Article 16a: https://www.lexingtonma.gov/…/article_16a_firing_range_a_4.… List of Lexington Reps who voted: https://www.lexingtonma.gov/…/article_16a_firing_range_a_4.…  Representative Contact List: http://www.lexingtontmma.org/pmwiki.php… Activism begins with education, so thank you to Nirmal Balachundhar for making me aware of this issue. See More","They literally already have a range In Lexington why need another one. Well said, thanks for sharing this Taeko. Hi, are you the creator of this petition? While I respect the intention and believe we should put pressure on removing the funding, I don’t think the money should be reallocated back to the police. Instead, it should be reallocated to local efforts that support Black Americans and that encourage community accountability. My #lexington fellow residents please ponder on this crazy spend, especially during the time of national outrage. Let's sign this pledge!!!"
"{'author': {}, 'comments': ['The most helpful person I know, he will definitely be there for u in debate and life in general!❤️ hire!', 'Incredibly skilled debater and an even better friend, HIRE ASAP', 'absolutely the nicest person i’ve ever met in debate and willing to put so much work in to help people out!!'], 'id': 'e4428446ce72a61c9ff7e65c049416b9', 'post': ['Hello everyone! My name is Jason and I’m looking to work with a few students this upcoming season. I debated for Syosset for 4 years, 1 and 1/2 in PF and 2 and 1/2 in LD. My senior year, I broke at nearly every tournament I went to, reaching a bid round, qualified for NYSFL (which didn’t happen b/c of corona), and competed on NY’s worlds team for NSDA, reaching outrounds. In addition, I mentored multiple small school students through various organizations like PepTalk, and pr...ivately, helping students earn one bid, break at multiple natcir tournaments, and champion trad/lay invites. I was a pretty flexible debater, and did everything imaginable throughout my career whether it be LARP, tricks and friv theory, or phil and K’s, and I’m down to coach debaters of all styles (this includes hard trad debaters). However, towards my senior year, I started focusing primarily on K and tricks debate. I usually read obscure positions and learned to explain them to a wide variety of judges, no matter their background (judge adaptation much wow). So if you’re a debater transitioning from trad to circuit, or looking to transition into reading dense philosophy/high theory, I’m definitely someone who can make it as easy as possible. If this interests you at all, don’t be afraid to reach out! Rates are negotiable and I promise that I don’t ask for very much. Send me a dm over messenger or an email to jasonlan16@gmail.com. Have a good one! See More']}","Hello everyone! My name is Jason and I’m looking to work with a few students this upcoming season. I debated for Syosset for 4 years, 1 and 1/2 in PF and 2 and 1/2 in LD. My senior year, I broke at nearly every tournament I went to, reaching a bid round, qualified for NYSFL (which didn’t happen b/c of corona), and competed on NY’s worlds team for NSDA, reaching outrounds. In addition, I mentored multiple small school students through various organizations like PepTalk, and pr...ivately, helping students earn one bid, break at multiple natcir tournaments, and champion trad/lay invites. I was a pretty flexible debater, and did everything imaginable throughout my career whether it be LARP, tricks and friv theory, or phil and K’s, and I’m down to coach debaters of all styles (this includes hard trad debaters). However, towards my senior year, I started focusing primarily on K and tricks debate. I usually read obscure positions and learned to explain them to a wide variety of judges, no matter their background (judge adaptation much wow). So if you’re a debater transitioning from trad to circuit, or looking to transition into reading dense philosophy/high theory, I’m definitely someone who can make it as easy as possible. If this interests you at all, don’t be afraid to reach out! Rates are negotiable and I promise that I don’t ask for very much. Send me a dm over messenger or an email to jasonlan16@gmail.com. Have a good one! See More","The most helpful person I know, he will definitely be there for u in debate and life in general!❤️ hire! Incredibly skilled debater and an even better friend, HIRE ASAP absolutely the nicest person i’ve ever met in debate and willing to put so much work in to help people out!!"
"{'author': {}, 'comments': ['They won’t because anti-semitism only exists when politically convenient'], 'id': 'cb798bd78b86a949d73b7acfb0f5435d', 'post': ['Antisemitism is alive and well. When will non-Jews take a stand against it?']}",Antisemitism is alive and well. When will non-Jews take a stand against it?,They won’t because anti-semitism only exists when politically convenient
"{'author': {}, 'comments': ['Justin, you’re so hair free!', 'awe bummer just left ☹'], 'id': '9834b4cb2ec18f575ade7398e1a00b0d', 'post': ['We are headed to the Maple Valley Farmers Market right now (almost 1pm). If this post gets approved quickly enough, if you see me there, come up and I’ll give you a pipe or a pendant. We have four of each, first come first serve, must prove you are 21+ for a pipe. Thanks for supporting the local Farmers Market!']}","We are headed to the Maple Valley Farmers Market right now (almost 1pm). If this post gets approved quickly enough, if you see me there, come up and I’ll give you a pipe or a pendant. We have four of each, first come first serve, must prove you are 21+ for a pipe. Thanks for supporting the local Farmers Market!","Justin, you’re so hair free! awe bummer just left ☹"
"{'author': {}, 'comments': ['I use an AOC I1659FWUX--$150. HD, brightness is very good (IPS)... not great on the portability front (the ASUS models are better). Still sorting out what we are going to do with the debaters.', 'Check-out table-top standing desk converters for a solution to ""how to move all your stuff up to speaking height."" TechOrbits makes a bunch. All are very stable and easy to move up and down with a gas piston.', 'The thing that worries me the most is how fragile the external monitors can be. If the setup is clumsy it multiplies debater clumsiness +10 per dice roll. If we have 1 monitor break every 2-3 tournament periods I would likely have a stroke.'], 'id': 'e2b142e457f9ce7bbab9851b78482b59', 'post': ['What are people’s external monitor setup situations for their debaters? If you have an image of the setup plus a sense on how you organize the word docs, zoom windows, email etc. I would be indebted. This old man tried to debate online yesterday for the first time in a while and I can’t imagine doing digital debate thing without an additional monitor.  A few things I worry about:... 1) I want our debaters to still stand up while speaking, how does this work if their laptop will be raised up while wired to a monitor? 2) the monitors need to be portable so we can move them from squad room to classroom or so they can go home with debaters in the event or necessary isolation Cost matters, it doesn’t have to be perfect just good enough. See More']}","What are people’s external monitor setup situations for their debaters? If you have an image of the setup plus a sense on how you organize the word docs, zoom windows, email etc. I would be indebted. This old man tried to debate online yesterday for the first time in a while and I can’t imagine doing digital debate thing without an additional monitor.  A few things I worry about:... 1) I want our debaters to still stand up while speaking, how does this work if their laptop will be raised up while wired to a monitor? 2) the monitors need to be portable so we can move them from squad room to classroom or so they can go home with debaters in the event or necessary isolation Cost matters, it doesn’t have to be perfect just good enough. See More","I use an AOC I1659FWUX--$150. HD, brightness is very good (IPS)... not great on the portability front (the ASUS models are better). Still sorting out what we are going to do with the debaters. Check-out table-top standing desk converters for a solution to ""how to move all your stuff up to speaking height."" TechOrbits makes a bunch. All are very stable and easy to move up and down with a gas piston. The thing that worries me the most is how fragile the external monitors can be. If the setup is clumsy it multiplies debater clumsiness +10 per dice roll. If we have 1 monitor break every 2-3 tournament periods I would likely have a stroke."
"{'author': {}, 'comments': ['Go Harrison!!!', 'PM’d!'], 'id': 'd6c348c10116f71e4b406e4319fbd90c', 'post': ['Hi, Harrison is looking for judges for a few September tournaments. Please PM if interested!! Edit: hired!']}","Hi, Harrison is looking for judges for a few September tournaments. Please PM if interested!! Edit: hired!",Go Harrison!!! PM’d!
"{'author': {}, 'comments': [""I will not be silent anymore! I voted for Trump in 2016 after many hours of research and prayers of seeking the truth!!!  I'm more confident now than I've ever been that Donald J Trump is the right person for such a time like this! Trump2020🇺🇸"", ""Just that one issue. LIFE. Should say it all. Didn't GOD choose life for us? Finding a way for us to be able to live an eternal life with him? He gave his own beloved son, so selfish us, could be saved. Then raising Jesus as our beloved LORD.The Holy …See More""], 'id': '502e592a722f67eec313955f4250bf81', 'post': ['Ripping the mask off of a widespread hypocrisy in the American Church. Thank you for reading and sharing this new message from Mario Murillo. MMM']}",Ripping the mask off of a widespread hypocrisy in the American Church. Thank you for reading and sharing this new message from Mario Murillo. MMM,"I will not be silent anymore! I voted for Trump in 2016 after many hours of research and prayers of seeking the truth!!!  I'm more confident now than I've ever been that Donald J Trump is the right person for such a time like this! Trump2020🇺🇸 Just that one issue. LIFE. Should say it all. Didn't GOD choose life for us? Finding a way for us to be able to live an eternal life with him? He gave his own beloved son, so selfish us, could be saved. Then raising Jesus as our beloved LORD.The Holy …See More"
"{'author': {}, 'comments': ['Pray for family reconciliation, deliverance, restoration. “As for me and my household WE will serve the Lord. Expectation!!!', 'Pray for my daughter and me . That we come back together in the lord . I am broken without her .'], 'id': '7a5d8f4d326838479f756dacc33b88b7', 'post': ['Satan is fighting hard this week. Because God is revealing His Glory. Church Rise Up!']}",Satan is fighting hard this week. Because God is revealing His Glory. Church Rise Up!,"Pray for family reconciliation, deliverance, restoration. “As for me and my household WE will serve the Lord. Expectation!!! Pray for my daughter and me . That we come back together in the lord . I am broken without her ."
"{'author': {}, 'comments': ['It is broken Robbie, I am delivered, Satan is defeated!', 'WE HONOR YOU BOTH!! THANK YOU FOR DOING WHAT FATHER WANTS!!'], 'id': '74b4c80da315fb120e6886667ff00e9a', 'post': ['Mario and Robby break down the enemies hold over people in Sunday Night Church.']}",Mario and Robby break down the enemies hold over people in Sunday Night Church.,"It is broken Robbie, I am delivered, Satan is defeated! WE HONOR YOU BOTH!! THANK YOU FOR DOING WHAT FATHER WANTS!!"
"{'author': {}, 'comments': ['Thank you for standing in the gap! - MMM Team', 'Lord save their souls'], 'id': 'dc7ff9e0e4e14392edc065a5bc1b83be', 'post': [""Anyone else's heart want to weep over those who are lost and so led astray right now?  Father in Heaven give US hearts of mercy to pray for and intercede for and offer hands of support to those who are lost. Use us to lead them to salvation. Use us to bring them back from the pit of hell. Use us to woo them to You.  May those lost in darkness, wickedness, perversion, and lies ... call on the Name of Jesus and know freedom. ... Oh Father give us HEARTS that yearn for their salvation and may we be willing and obedient to go where You'd have us go, to say what You'd have us say, to forgive where we need to forgive ... and may no one ever be so far gone in our eyes. They are never too far out of Your love and reach so may we too have a heart for those who are lost and far away from You.  Have MERCY Oh Lord today we pray. See More""]}","Anyone else's heart want to weep over those who are lost and so led astray right now?  Father in Heaven give US hearts of mercy to pray for and intercede for and offer hands of support to those who are lost. Use us to lead them to salvation. Use us to bring them back from the pit of hell. Use us to woo them to You.  May those lost in darkness, wickedness, perversion, and lies ... call on the Name of Jesus and know freedom. ... Oh Father give us HEARTS that yearn for their salvation and may we be willing and obedient to go where You'd have us go, to say what You'd have us say, to forgive where we need to forgive ... and may no one ever be so far gone in our eyes. They are never too far out of Your love and reach so may we too have a heart for those who are lost and far away from You.  Have MERCY Oh Lord today we pray. See More",Thank you for standing in the gap! - MMM Team Lord save their souls
"{'author': {}, 'comments': ['Mario Murillo is a telling it like it is'], 'id': 'c72f186a83b13f3eb5f7564c3d803751', 'post': ['Sunday times with you and Robby Dawkins are the best.  Join us today at  3 PM PST  4 PM MST ... 5 PM CST  6 PM EST See More']}",Sunday times with you and Robby Dawkins are the best.  Join us today at  3 PM PST  4 PM MST ... 5 PM CST  6 PM EST See More,Mario Murillo is a telling it like it is
"{'author': {}, 'comments': ['Thank you for reading and sharing!', 'Why not demand bipartisan handlers present for any volunteers that are involved with  ballots or collections in any way? We need accountability for all ballots sent out and collected.'], 'id': 'e15e5edc24433152a9c8d6922644994f', 'post': ['Leftist operatives man battle stations throughout the system that will count the votes. I will go so far as to say that mail-in ballots are Joe Biden’s only hope of winning. But the horror extends beyond that. All the votes for the Senate and the House and local elections will also be gamed by this racket.  I have no doubt that the fix is already in, and the only way to stop it is to demand that the courts enforce in-person voting. The virus is just an excuse for this despica...ble deception. The church shutdown proves it. If they truly believe that the virus is as dangerous as they say it is, they would not have singled out the church for shutdown and have left big-box stores, bars, casinos, and marijuana outlets open. They used a big fat lie to close down our churches. Why? Because they hate the church. Now, we see the same lie being used to unleash the most heinous sabotage of our freedoms in American history. The argument that people shouldn’t go to polling places is destroyed by their actions. It’s the ultimate hypocrisy of the Left: leftist protesters—in person on the streets—protesting against in-person voting. How rich is that?  Think voter fraud is not being planned on a massive scale consider 20,000 fake driver’s licenses… Read more: https://bit.ly/2YDTog7 See More']}","Leftist operatives man battle stations throughout the system that will count the votes. I will go so far as to say that mail-in ballots are Joe Biden’s only hope of winning. But the horror extends beyond that. All the votes for the Senate and the House and local elections will also be gamed by this racket.  I have no doubt that the fix is already in, and the only way to stop it is to demand that the courts enforce in-person voting. The virus is just an excuse for this despica...ble deception. The church shutdown proves it. If they truly believe that the virus is as dangerous as they say it is, they would not have singled out the church for shutdown and have left big-box stores, bars, casinos, and marijuana outlets open. They used a big fat lie to close down our churches. Why? Because they hate the church. Now, we see the same lie being used to unleash the most heinous sabotage of our freedoms in American history. The argument that people shouldn’t go to polling places is destroyed by their actions. It’s the ultimate hypocrisy of the Left: leftist protesters—in person on the streets—protesting against in-person voting. How rich is that?  Think voter fraud is not being planned on a massive scale consider 20,000 fake driver’s licenses… Read more: https://bit.ly/2YDTog7 See More",Thank you for reading and sharing! Why not demand bipartisan handlers present for any volunteers that are involved with  ballots or collections in any way? We need accountability for all ballots sent out and collected.
"{'author': {}, 'comments': ['A chest full of 💰'], 'id': '1294f1d434ec45986f693359afaa0736', 'post': ['This War Chest Collection is available to you for an incredible price: not only are you getting quality content but the money donated will go towards our efforts to win souls. THANK YOU!']}",This War Chest Collection is available to you for an incredible price: not only are you getting quality content but the money donated will go towards our efforts to win souls. THANK YOU!,A chest full of 💰
"{'author': {}, 'comments': ['Truth! We pray for them and bless them but ultimately they are responsible for their own actions.', 'These people are God haters on both sides they won’t rest until remove God from every level of society.  We have to pray and vote for Trump.'], 'id': '9b13366fa82ae94637f5c6738c3c2884', 'post': ['The Democrats hated Christians long before Trump came along. Years ago, they were trying to get every preacher off the air. They made it their mission to ban prayer in public events, and even Friday night football. They are the ones who wanted the Ten Commandments taken down in every public park and building. They are the ones who banished Nativity displays at Christmas time. They hate our stand on marriage and abortion. They hate our beliefs. They make no pretense about it. ...There is zero outreach to Christians by Democrats. They are not even trying to get our vote, and gave up trying years ago. They have been tireless in their crusade to banish the influence of Christ on America. Long before Trump announced he would run for President, Obama was verbally belittling the Church. Then he openly went after ministries and Christian businesses that would not support abortion. In the last few months of his first term, he suspended Billy Graham’s nonprofit status. He weaponized the IRS to block conservative and Christian groups from getting non-profit status. All of this was before Trump. The caption below is no joke. It’s the absolute truth. Keep reading: https://bit.ly/329oahN See More']}","The Democrats hated Christians long before Trump came along. Years ago, they were trying to get every preacher off the air. They made it their mission to ban prayer in public events, and even Friday night football. They are the ones who wanted the Ten Commandments taken down in every public park and building. They are the ones who banished Nativity displays at Christmas time. They hate our stand on marriage and abortion. They hate our beliefs. They make no pretense about it. ...There is zero outreach to Christians by Democrats. They are not even trying to get our vote, and gave up trying years ago. They have been tireless in their crusade to banish the influence of Christ on America. Long before Trump announced he would run for President, Obama was verbally belittling the Church. Then he openly went after ministries and Christian businesses that would not support abortion. In the last few months of his first term, he suspended Billy Graham’s nonprofit status. He weaponized the IRS to block conservative and Christian groups from getting non-profit status. All of this was before Trump. The caption below is no joke. It’s the absolute truth. Keep reading: https://bit.ly/329oahN See More",Truth! We pray for them and bless them but ultimately they are responsible for their own actions. These people are God haters on both sides they won’t rest until remove God from every level of society.  We have to pray and vote for Trump.
"{'author': {}, 'comments': [""Be encouraged Mario. Been in prayer a lot lately. Holy Spirit teaching me marvelous things...how to trust Him to put words in my mouth. Even showing me others praying as His living church in the spirit... praying together with me. Do not let Satan's li…See More"", 'Excellent! It grieves my heart to see this. In my prayer time yesterday I sang an old hymn “Revive Us Oh Lord” and I prayed the words of the song, “may each soul be rekindled with fire from above!”'], 'id': '00620823a02ad72a05ced42baa9d6770', 'post': ['If ever you reading anything from Mario Murillo this is it. Thank you for sharing. MMM']}",If ever you reading anything from Mario Murillo this is it. Thank you for sharing. MMM,"Be encouraged Mario. Been in prayer a lot lately. Holy Spirit teaching me marvelous things...how to trust Him to put words in my mouth. Even showing me others praying as His living church in the spirit... praying together with me. Do not let Satan's li…See More Excellent! It grieves my heart to see this. In my prayer time yesterday I sang an old hymn “Revive Us Oh Lord” and I prayed the words of the song, “may each soul be rekindled with fire from above!”"
"{'author': {}, 'comments': ['The democrats didn’t think they needed to fix the election in 2016 as much as they do nowMany Democrats I know don’t understand the difference between absentee ballots where you have to request the ballot and mail in ballots that are just sent to ever…See More', 'I read this very serious expose on the dire seriousness of this election and I shared it. It was so appreciated. Thank you. Appreciate your wisdom and warnings so very much.'], 'id': '6b8851d18902fe02a1a392222a64d1e4', 'post': ['Mr. President you must combine all of your influence and all of your moral rage to focus on stopping this disaster. Shut it down before it happens with an executive order, and call out the National Guard to oversee the voting process. Everyone who loves America and loves freedom must treat the mail-in election as treason, and consider it as lethal as an armed invasion by a foreign army. We must fight it in the courts. We must exhaust every avenue to influence rational America...ns against this travesty. And if that fails… But what if ‘that’ does fail and we have a corrupted election? Then we must—all of us—on a scale unknown in world history—repudiate the results and reject the election. Patriotic and God-fearing people—by the millions, must take to the streets if necessary and revolt against the calculated, despotic, banana-republic sham of a mail-in election. Otherwise, America will be lost forever. Mr. President, do all that is in your heart to do, we are with you in this holy crusade. Keep reading: https://bit.ly/2YDTog7 See More']}","Mr. President you must combine all of your influence and all of your moral rage to focus on stopping this disaster. Shut it down before it happens with an executive order, and call out the National Guard to oversee the voting process. Everyone who loves America and loves freedom must treat the mail-in election as treason, and consider it as lethal as an armed invasion by a foreign army. We must fight it in the courts. We must exhaust every avenue to influence rational America...ns against this travesty. And if that fails… But what if ‘that’ does fail and we have a corrupted election? Then we must—all of us—on a scale unknown in world history—repudiate the results and reject the election. Patriotic and God-fearing people—by the millions, must take to the streets if necessary and revolt against the calculated, despotic, banana-republic sham of a mail-in election. Otherwise, America will be lost forever. Mr. President, do all that is in your heart to do, we are with you in this holy crusade. Keep reading: https://bit.ly/2YDTog7 See More",The democrats didn’t think they needed to fix the election in 2016 as much as they do nowMany Democrats I know don’t understand the difference between absentee ballots where you have to request the ballot and mail in ballots that are just sent to ever…See More I read this very serious expose on the dire seriousness of this election and I shared it. It was so appreciated. Thank you. Appreciate your wisdom and warnings so very much.
"{'author': {}, 'comments': ['AMEN!☁☁☁☁Follow the GLORY cloud BROTHERS and sisters...these men are GLORY carriers. HALLELUJAH🔥🔥🔥🔥', 'Would not miss it for the world. Best church service ever'], 'id': 'a35398e0881b31da0a04947f43c2ac12', 'post': [""It's Friday ... but SUNDAY IS COMING!  Invite a friend to join us for a Holy Spirit time of worship and truth!""]}",It's Friday ... but SUNDAY IS COMING!  Invite a friend to join us for a Holy Spirit time of worship and truth!,AMEN!☁☁☁☁Follow the GLORY cloud BROTHERS and sisters...these men are GLORY carriers. HALLELUJAH🔥🔥🔥🔥 Would not miss it for the world. Best church service ever
"{'author': {}, 'comments': [""Let's be wise...A wise man is mightier than the strong man. Wisdom is mightier than strength...The wise man conquers the strong man and levels his defenses. Deceit is in the heart of those who devise evil...Those who plot evil shall wander away and be …See More"", 'The way the Dems are fighting for mail-in votes I know it will be rigged!'], 'id': 'dfd8b9cb33a46bd8e096a5d752d04321', 'post': ['Please share this post before it is banned again. Thank you.']}",Please share this post before it is banned again. Thank you.,Let's be wise...A wise man is mightier than the strong man. Wisdom is mightier than strength...The wise man conquers the strong man and levels his defenses. Deceit is in the heart of those who devise evil...Those who plot evil shall wander away and be …See More The way the Dems are fighting for mail-in votes I know it will be rigged!
"{'author': {}, 'comments': ['Thank you for being led and writing these articles. I’ve been asking myself lately, why don’t we as the church live like some of these in the past did? Such as John G Lake. Who walked in divine health. I’ve decided no matter what others do I am going t…See More', 'Yes thank you for this great message. It is time to get out of the turkey yard and soar like eagles 🦅'], 'id': '95b3c036fefd6aed84e0ae189442f39f', 'post': [""You are a force! Mario's blog is rapidly approaching 11 million reads. Thank you for reading and sharing today's message. MMM""]}",You are a force! Mario's blog is rapidly approaching 11 million reads. Thank you for reading and sharing today's message. MMM,"Thank you for being led and writing these articles. I’ve been asking myself lately, why don’t we as the church live like some of these in the past did? Such as John G Lake. Who walked in divine health. I’ve decided no matter what others do I am going t…See More Yes thank you for this great message. It is time to get out of the turkey yard and soar like eagles 🦅"
"{'author': {}, 'comments': [""President Trump has been saying this all along!  Its true, look what's happening in California with churches!  Pray for one another & our president!  The truth is, God is using it to make us stronger in our faith!!!"", 'Ageed! The lack of understanding among many Christians to what their own God is doing in their midst has caused many to in fact fight the very God they claim to serve! POPPA remove the blinders!'], 'id': '84acfd9feed3e9fc09a066521008e17b', 'post': ['Many Christians think people hate us because we support Trump. The fact is, they hate Trump because he supports Christians. American Christians chafe at the notion that they are hated by the left. The truth is if Trump went away they would still hate us. They are after us and Trump is in their way. That is what all the rage toward him is about. More than ‘Trump Derangement Syndrome,’ what we have is ‘Christianity Derangement Syndrome,’ giving new meaning to the scripture, “My people are destroyed for lack of knowledge” (Hosea 4:6). The lack of knowledge that is destroying our freedom is our ingratitude and lack of discernment of both what Trump suffers on our behalf and the firewall of protection he is providing the church. Keep Reading: https://bit.ly/329oahN']}","Many Christians think people hate us because we support Trump. The fact is, they hate Trump because he supports Christians. American Christians chafe at the notion that they are hated by the left. The truth is if Trump went away they would still hate us. They are after us and Trump is in their way. That is what all the rage toward him is about. More than ‘Trump Derangement Syndrome,’ what we have is ‘Christianity Derangement Syndrome,’ giving new meaning to the scripture, “My people are destroyed for lack of knowledge” (Hosea 4:6). The lack of knowledge that is destroying our freedom is our ingratitude and lack of discernment of both what Trump suffers on our behalf and the firewall of protection he is providing the church. Keep Reading: https://bit.ly/329oahN","President Trump has been saying this all along!  Its true, look what's happening in California with churches!  Pray for one another & our president!  The truth is, God is using it to make us stronger in our faith!!! Ageed! The lack of understanding among many Christians to what their own God is doing in their midst has caused many to in fact fight the very God they claim to serve! POPPA remove the blinders!"
"{'author': {}, 'comments': ['Awesome! Way to go brother!I can tell you that I definitely see how God has spoken to you about how to do this!', 'Prayers for heaven to come down and fill and transform thousands!'], 'id': '1e2e7f3e553a4eecfe5d7b2736f9897b', 'post': ['A peaceful protest against fear, hate, addiction, and sickness. Living Proof of the Love and Power of Jesus.']}","A peaceful protest against fear, hate, addiction, and sickness. Living Proof of the Love and Power of Jesus.",Awesome! Way to go brother!I can tell you that I definitely see how God has spoken to you about how to do this! Prayers for heaven to come down and fill and transform thousands!
"{'author': {}, 'comments': ['Thank you Mario for your BRAVERY and COMPETENCE in spreading the TRUTH!! I appreciate your taking time to evaluate, pray, and wait to hear from the Lord. Praying for you and your ministry 🙏🏻', 'Every legally registered voter needs to vote!'], 'id': 'f5f452a4a42344d42f44aa7070751a69', 'post': ['Believers need to be clear about what their vote for Biden will do to the world and what it says about them. I beg you to open your heart and mind to facts. Again, these are facts not opinions: There’s undeniable evidence of cognitive decline in Joe Biden. He often looks confused, the man can’t finish a sentence. He has the rude angry outbursts that accompany this form of decline.  He continued to give unwanted attention to females long after being warned. It’s almost as if h...e forgot to stop. Back to the issue of cognitive decline. Below are his actual words as he addressed the coronavirus. Teleprompter and all. He has embraced the full compliment of socialist evil embedded in the Democrat platform. He wants Beto O’Rourke to take away our guns. He wants to reinstate laws that oppress Christian bakers and businesses. Not opinion. Things he has just said. He is so desperate to become President that he has vowed to veer left and rally those who support the agendas of Planned Parenthood, the LGBTQ activists, and socialism. He has even made a deal with the other devil, Bernie Sanders. China lied about Covid 19. That was a devastating attack on the United States. Joe Biden has made a career of giving in to the Chinese government. He even sided with them after the pandemic started accusing Trump of racism for stopping flights from China. Attacks from China are only beginning. That of itself makes Biden a disaster and the absolute worst choice. Joe Biden is the consort of Barack Obama, who has consistently been the most hostile President in history toward the Bible. How can you call yourself a Christian and vote for Joe Biden? He is too weak to resist Obama’s war on the church. He will serve at the behest of the worst enemies of both the church and the nation. He will go after every value Christianity stands for. Keep Reading: https://bit.ly/31eLCej #DemocratConvention #JoeBiden See More']}","Believers need to be clear about what their vote for Biden will do to the world and what it says about them. I beg you to open your heart and mind to facts. Again, these are facts not opinions: There’s undeniable evidence of cognitive decline in Joe Biden. He often looks confused, the man can’t finish a sentence. He has the rude angry outbursts that accompany this form of decline.  He continued to give unwanted attention to females long after being warned. It’s almost as if h...e forgot to stop. Back to the issue of cognitive decline. Below are his actual words as he addressed the coronavirus. Teleprompter and all. He has embraced the full compliment of socialist evil embedded in the Democrat platform. He wants Beto O’Rourke to take away our guns. He wants to reinstate laws that oppress Christian bakers and businesses. Not opinion. Things he has just said. He is so desperate to become President that he has vowed to veer left and rally those who support the agendas of Planned Parenthood, the LGBTQ activists, and socialism. He has even made a deal with the other devil, Bernie Sanders. China lied about Covid 19. That was a devastating attack on the United States. Joe Biden has made a career of giving in to the Chinese government. He even sided with them after the pandemic started accusing Trump of racism for stopping flights from China. Attacks from China are only beginning. That of itself makes Biden a disaster and the absolute worst choice. Joe Biden is the consort of Barack Obama, who has consistently been the most hostile President in history toward the Bible. How can you call yourself a Christian and vote for Joe Biden? He is too weak to resist Obama’s war on the church. He will serve at the behest of the worst enemies of both the church and the nation. He will go after every value Christianity stands for. Keep Reading: https://bit.ly/31eLCej #DemocratConvention #JoeBiden See More","Thank you Mario for your BRAVERY and COMPETENCE in spreading the TRUTH!! I appreciate your taking time to evaluate, pray, and wait to hear from the Lord. Praying for you and your ministry 🙏🏻 Every legally registered voter needs to vote!"
"{'author': {}, 'comments': ['Praying for a Spiritual Awakening in this country 🙏🙌❤️🇺🇸', 'Yes!', 'Amen life is a precious sacrifice for what GOD gave us and we need to honor that  by holding to the values thy help to .'], 'id': '21ccd00a6e7e046db23413ffb4d05191', 'post': ['We must take action to preserve our freedoms! Those who have given their all must not have their sacrifices made in vain. Who is with me? We will NOT surrender or stop defending this blessed land! #Pray #Act #BringChange']}",We must take action to preserve our freedoms! Those who have given their all must not have their sacrifices made in vain. Who is with me? We will NOT surrender or stop defending this blessed land! #Pray #Act #BringChange,Praying for a Spiritual Awakening in this country 🙏🙌❤️🇺🇸 Yes! Amen life is a precious sacrifice for what GOD gave us and we need to honor that  by holding to the values thy help to .
